CODMUN;MUNICIPIO;PERIODO_2017;PERIODO_2016;PERIODO_2015;PERIODO_2014;PERIODO_2013;PERIODO_2012;PERIODO_2011;PERIODO_2010;PERIODO_2009;PERIODO_2008;PERIODO_2007;PERIODO_2006;PERIODO_2005;PERIODO_2004;PERIODO_2003;PERIODO_2002;PERIODO_2001;PERIODO_2000
35004;  Arrecife;37,6;37,3;37;36,7;36,3;35,9;35,5;34,9;34,5;34,1;34;33,8;33,6;33,5;33,1;33;32,9;32,7
35010;  Haría;45;44,9;44,3;43,8;43,2;43,1;42,7;42,1;41,6;41,2;40,7;40,3;39,8;39,5;39,3;39,1;39;38,7
35018;  San Bartolomé;38,1;37,7;37,5;37,3;36,9;36,4;35,8;35,3;34,7;34,3;33,8;33,3;32,9;32,4;32,2;32;32;31,9
35024;  Teguise;39,4;39,1;38,7;38,3;38;37,7;37,2;36,9;36,5;36,2;35,9;35,6;35,2;35;35;34,7;34,5;34,1
35028;  Tías;40,6;40,3;39,8;39,4;39,4;39,3;39;38,5;37,8;37,1;36,6;36;35,3;34,7;34,6;34,1;33,7;33,3
35029;  Tinajo;38,9;38,5;38,5;38,2;37,8;37,4;36,9;36,7;36,6;36;35,7;35,5;35,4;35,1;34,7;34,2;34,2;34,1
35034;  Yaiza;37,1;37;37,1;36,8;37,4;37,1;36,9;36,4;35,9;35,4;35,7;35,4;34,9;34,2;34,4;33,8;33,6;33,4
35003;  Antigua;40,6;40;39,7;39,5;39;38,3;37,7;37,1;36,2;35,8;35,1;34,6;34,2;33,8;33;32,2;32,1;32,1
35007;  Betancuria;44,7;44,6;44,4;44;44,3;43,7;43,5;42,9;44,9;43,8;42,6;42,1;41,3;40,8;40,5;41;40,4;39,7
35014;  Oliva (La);38,1;37,8;37,5;37,1;36,9;36,5;35,8;35,4;34,8;34,3;33,9;33,5;32,9;32,7;32,7;32,4;32,4;32,2
35015;  Pájara;36,4;36,1;35,9;35,8;36,4;36;35,6;35,1;34,6;34,2;33,7;33,4;32,9;32,5;32,1;31,5;31,1;30,6
35017;  Puerto del Rosario;36,7;36,3;35,9;35,5;35;34,6;34,2;33,8;33,4;33,1;33,2;33,5;32,7;32,4;32,1;32,3;31,8;31,5
35030;  Tuineje;37,6;37,4;37,1;36,8;36,6;36,2;35,8;35,2;34,6;34,3;33,8;33,6;33,2;33,2;32,7;32,4;32;31,8
35001;  Agaete;44,4;44;43,7;43,4;43,2;42,8;42,5;42;41,4;41,3;40,6;40,1;39,7;39,7;39,8;39,5;39,3;38,8
35002;  Agüimes;38,6;38,2;37,8;37,3;36,8;36,4;35,9;35,4;35;34,7;34,4;34,2;34;33,8;33,4;33,2;33;32,6
35005;  Artenara;49,9;49,5;48,7;48,4;47,7;47,2;46,9;46,4;45,6;45,1;44,5;44,1;43,1;41,8;41,6;40,7;39,5;38,5
35006;  Arucas;41,4;40,9;40,6;40,2;39,9;39,5;38,9;38,5;38,2;38,1;37,7;37,4;37,2;37;36,6;36,3;36,1;35,8
35008;  Firgas;42;41,9;41,6;41,1;40,4;40;39,8;39,5;39,4;39,2;38,9;38,6;38,2;38;37,5;37,4;37;36,6
35009;  Gáldar;42;41,6;41,2;40,8;40,5;40,2;39,8;39,3;38,9;38,7;38,3;38,2;38;37,8;37,4;36,9;36,7;36,3
35011;  Ingenio;39,3;38,9;38,5;38,1;37,7;37,2;36,8;36,4;36,1;35,7;35,5;35,1;35;34,6;34,3;34;33,7;33,5
35012;  Mogán;41,2;41,2;41,3;41;40,4;40,6;39,9;39,1;38,3;37,4;36,9;36,8;36,2;35,6;35,6;34,9;34,4;33,9
