año;mes;nacion;1 estrella;2 estrellas;3 estrellas;4 estrellas;5 estrellas;hoteleros;extrahoteleros;total
2010;1;España;898;4365;16498;33170;6804;61735;14977;76712
2010;1;Holanda;80;164;1434;3429;491;5598;4945;10543
2010;1;Bélgica;58;97;969;6373;1564;9061;2324;11385
2010;1;Alemania;402;656;7349;26814;5127;40348;11110;51458
2010;1;Francia;123;601;888;3726;491;5829;3187;9016
2010;1;Gran Bretaña;919;672;11708;35347;6392;55038;59779;114817
2010;1;Irlanda;12;70;815;1944;741;3582;2908;6490
2010;1;Italia;57;238;1035;4860;1012;7202;2562;9764
2010;1;Suecia;36;225;1497;5260;370;7388;11689;19077
2010;1;Noruega;10;138;1307;1936;477;3868;9474;13342
2010;1;Dinamarca;16;578;1330;2236;115;4275;8421;12696
2010;1;Finlandia;12;70;1927;2645;314;4968;13092;18060
2010;1;Suiza;38;102;236;788;375;1539;679;2218
2010;1;Austria;13;46;328;1372;397;2156;1150;3306
2010;1;Rusia;83;15;499;1511;1064;3172;2946;6118
2010;1;Países del Este;49;195;888;1642;345;3119;2710;5829
2010;1;Resto de Europa;45;124;1160;1835;465;3629;1700;5329
2010;1;Estados Unidos;16;37;152;188;167;560;293;853
2010;1;Resto de América;78;204;341;232;189;1044;484;1528
2010;1;Resto del Mundo;42;159;500;1307;378;2386;1310;3696
2010;1;TOTAL;2987;8756;50861;136615;27278;226497;155740;382237
2010;2;España;1511;5422;17628;34894;7319;66774;15236;82010
2010;2;Holanda;87;265;1341;4033;804;6530;5970;12500
2010;2;Bélgica;33;72;726;5657;1802;8290;1897;10187
2010;2;Alemania;381;604;7543;23024;4734;36286;9917;46203
2010;2;Francia;215;780;1427;4166;620;7208;3863;11071
2010;2;Gran Bretaña;858;537;9393;35323;8155;54266;58173;112439
2010;2;Irlanda;13;63;852;1870;761;3559;2801;6360
2010;2;Italia;113;234;1055;4308;772;6482;1978;8460
2010;2;Suecia;29;197;1351;4079;336;5992;10013;16005
2010;2;Noruega;17;117;1053;1864;260;3311;8331;11642
2010;2;Dinamarca;11;484;1260;2542;227;4524;8611;13135
2010;2;Finlandia;13;83;1442;2419;381;4338;10895;15233
2010;2;Suiza;59;64;270;884;478;1755;607;2362
2010;2;Austria;26;69;268;1123;321;1807;973;2780
2010;2;Rusia;68;33;338;600;533;1572;2025;3597
2010;2;Países del Este;50;143;642;2136;141;3112;2011;5123
2010;2;Resto de Europa;23;84;1149;1970;497;3723;1387;5110
2010;2;Estados Unidos;7;51;125;220;170;573;195;768
2010;2;Resto de América;100;221;362;220;137;1040;309;1349
2010;2;Resto del Mundo;70;123;398;1242;241;2074;1139;3213
2010;2;TOTAL;3684;9646;48623;132574;28689;223216;146331;369547
2010;3;España;1135;5229;19132;40188;10162;75846;25414;101260
2010;3;Holanda;94;189;1562;3122;678;5645;5319;10964
2010;3;Bélgica;45;68;576;4448;1638;6775;1750;8525
2010;3;Alemania;501;716;8679;24743;5145;39784;10361;50145
2010;3;Francia;162;858;1150;3903;463;6536;2732;9268
2010;3;Gran Bretaña;752;509;10025;39774;8391;59451;65900;125351
2010;3;Irlanda;18;53;677;1835;704;3287;3235;6522
2010;3;Italia;34;153;1109;2884;1037;5217;1678;6895
2010;3;Suecia;2;162;1644;4686;396;6890;10393;17283
2010;3;Noruega;3;56;964;1989;297;3309;8530;11839
2010;3;Dinamarca;11;471;1246;2780;238;4746;7501;12247
2010;3;Finlandia;15;81;1332;3116;342;4886;11169;16055
2010;3;Suiza;25;54;320;727;489;1615;700;2315
2010;3;Austria;10;37;267;1150;271;1735;928;2663
2010;3;Rusia;111;32;409;830;621;2003;2669;4672
2010;3;Países del Este;33;119;703;1724;351;2930;2545;5475
2010;3;Resto de Europa;24;95;1029;2350;534;4032;1533;5565
2010;3;Estados Unidos;18;91;157;409;198;873;398;1271
2010;3;Resto de América;69;187;278;195;113;842;565;1407
2010;3;Resto del Mundo;65;170;462;2234;594;3525;1114;4639
2010;3;TOTAL;3127;9330;51721;143087;32662;239927;164434;404361
2010;4;España;961;5041;22467;53924;9894;92287;40669;132956
2010;4;Holanda;27;97;910;4700;713;6447;5331;11778
2010;4;Bélgica;13;75;1105;7680;1915;10788;2160;12948
2010;4;Alemania;233;480;8651;22515;4330;36209;8993;45202
2010;4;Francia;123;724;1765;5480;638;8730;4814;13544
2010;4;Gran Bretaña;898;322;8287;48236;10406;68149;70781;138930
2010;4;Irlanda;3;72;515;1628;626;2844;3091;5935
2010;4;Italia;63;148;821;2592;509;4133;1204;5337
2010;4;Suecia;18;145;646;2301;165;3275;5544;8819
2010;4;Noruega;1;72;166;675;85;999;2408;3407
2010;4;Dinamarca;1;305;633;914;107;1960;2570;4530
2010;4;Finlandia;6;27;563;947;112;1655;3961;5616
2010;4;Suiza;31;63;295;1125;445;1959;852;2811
2010;4;Austria;13;16;226;1166;190;1611;872;2483
2010;4;Rusia;97;27;459;1639;818;3040;3911;6951
2010;4;Países del Este;42;293;754;1864;292;3245;2533;5778
2010;4;Resto de Europa;27;76;1103;2839;474;4519;1784;6303
2010;4;Estados Unidos;0;45;230;365;200;840;469;1309
2010;4;Resto de América;79;215;290;359;89;1032;403;1435
2010;4;Resto del Mundo;45;205;392;4183;405;5230;1247;6477
2010;4;TOTAL;2681;8448;50278;165132;32413;258952;163597;422549
2010;5;España;978;5038;26418;59875;9770;102079;37498;139577
2010;5;Holanda;62;111;1135;4670;1010;6988;6362;13350
2010;5;Bélgica;37;70;546;5554;1308;7515;1306;8821
2010;5;Alemania;174;284;7206;20518;4063;32245;6307;38552
2010;5;Francia;160;599;876;3747;428;5810;2318;8128
2010;5;Gran Bretaña;937;246;6995;36201;8626;53005;56469;109474
2010;5;Irlanda;14;22;528;1193;483;2240;3435;5675
2010;5;Italia;31;111;768;2443;497;3850;1388;5238
2010;5;Suecia;6;27;70;139;36;278;788;1066
2010;5;Noruega;3;185;102;80;66;436;603;1039
2010;5;Dinamarca;0;171;76;401;43;691;983;1674
2010;5;Finlandia;0;23;47;23;15;108;119;227
2010;5;Suiza;44;41;193;918;448;1644;697;2341
2010;5;Austria;4;22;126;669;274;1095;419;1514
2010;5;Rusia;87;13;249;1249;877;2475;3162;5637
2010;5;Países del Este;35;85;875;993;289;2277;2177;4454
2010;5;Resto de Europa;22;49;1106;3616;1135;5928;1669;7597
2010;5;Estados Unidos;4;34;131;177;268;614;287;901
2010;5;Resto de América;77;147;291;334;132;981;580;1561
2010;5;Resto del Mundo;26;188;314;2058;484;3070;1401;4471
2010;5;TOTAL;2701;7466;48052;144858;30252;233329;127968;361297
2010;6;España;1031;5395;23225;61206;10509;101366;42954;144320
2010;6;Holanda;20;40;682;2507;363;3612;3326;6938
2010;6;Bélgica;44;42;517;6162;971;7736;1178;8914
2010;6;Alemania;91;210;7165;19188;2881;29535;5146;34681
2010;6;Francia;41;301;473;2284;315;3414;2654;6068
2010;6;Gran Bretaña;754;264;6783;35993;8141;51935;68296;120231
2010;6;Irlanda;3;26;452;1222;448;2151;3813;5964
2010;6;Italia;74;118;863;2543;522;4120;1780;5900
2010;6;Suecia;3;15;119;297;28;462;1149;1611
2010;6;Noruega;0;222;118;172;53;565;662;1227
2010;6;Dinamarca;1;146;85;532;38;802;689;1491
2010;6;Finlandia;0;11;27;22;7;67;343;410
2010;6;Suiza;7;8;206;795;356;1372;580;1952
2010;6;Austria;4;21;142;1025;189;1381;356;1737
2010;6;Rusia;203;12;328;1535;1153;3231;3696;6927
2010;6;Países del Este;39;226;1400;2643;473;4781;3228;8009
2010;6;Resto de Europa;11;78;1311;4088;537;6025;1600;7625
2010;6;Estados Unidos;4;37;141;428;215;825;429;1254
2010;6;Resto de América;49;199;423;281;97;1049;644;1693
2010;6;Resto del Mundo;31;224;507;5288;374;6424;1567;7991
2010;6;TOTAL;2410;7595;44967;148211;27670;230853;144090;374943
2010;7;España;961;5087;22272;76741;15070;120131;53781;173912
2010;7;Holanda;50;90;1274;4245;616;6275;8118;14393
2010;7;Bélgica;8;52;638;7159;1380;9237;3085;12322
2010;7;Alemania;146;233;8661;19715;2454;31209;7449;38658
2010;7;Francia;63;305;830;3338;490;5026;5226;10252
2010;7;Gran Bretaña;913;197;9646;37074;9016;56846;79416;136262
2010;7;Irlanda;13;16;476;1251;435;2191;4203;6394
2010;7;Italia;71;121;1150;3245;269;4856;3444;8300
2010;7;Suecia;12;8;130;297;62;509;1467;1976
2010;7;Noruega;8;144;92;291;84;619;1458;2077
2010;7;Dinamarca;0;180;73;493;53;799;884;1683
2010;7;Finlandia;1;29;24;36;14;104;268;372
2010;7;Suiza;21;25;332;1426;410;2214;995;3209
2010;7;Austria;4;19;209;1549;190;1971;714;2685
2010;7;Rusia;213;9;427;2059;1813;4521;5577;10098
2010;7;Países del Este;41;288;1390;3109;1124;5952;3827;9779
2010;7;Resto de Europa;20;38;2069;5121;472;7720;3020;10740
2010;7;Estados Unidos;5;51;242;447;223;968;538;1506
2010;7;Resto de América;80;211;547;354;156;1348;757;2105
2010;7;Resto del Mundo;39;169;454;1453;443;2558;1978;4536
2010;7;TOTAL;2669;7272;50936;169403;34774;265054;186205;451259
2010;8;España;790;4626;24696;90079;19478;139669;63511;203180
2010;8;Holanda;27;96;1375;4328;451;6277;7261;13538
2010;8;Bélgica;20;36;633;6234;955;7878;2321;10199
2010;8;Alemania;229;275;8034;18160;2877;29575;7404;36979
2010;8;Francia;82;311;886;3631;778;5688;4055;9743
2010;8;Gran Bretaña;444;235;9652;35486;7282;53099;71513;124612
2010;8;Irlanda;5;12;522;1119;296;1954;2855;4809
2010;8;Italia;95;340;1931;5874;628;8868;6343;15211
2010;8;Suecia;2;15;65;472;29;583;872;1455
2010;8;Noruega;3;335;94;281;29;742;727;1469
2010;8;Dinamarca;2;157;79;372;5;615;556;1171
2010;8;Finlandia;0;51;18;11;1;81;293;374
2010;8;Suiza;14;23;152;925;287;1401;464;1865
2010;8;Austria;6;15;146;1097;246;1510;567;2077
2010;8;Rusia;133;18;466;2489;1760;4866;4128;8994
2010;8;Países del Este;22;177;1255;2450;869;4773;2722;7495
2010;8;Resto de Europa;19;63;2410;6922;1268;10682;3182;13864
2010;8;Estados Unidos;4;24;117;169;149;463;298;761
2010;8;Resto de América;64;226;545;382;144;1361;892;2253
2010;8;Resto del Mundo;20;140;436;1969;656;3221;1928;5149
2010;8;TOTAL;1981;7175;53512;182450;38188;283306;181892;465198
2010;9;España;912;4516;16460;58806;13289;93983;35275;129258
2010;9;Holanda;31;82;767;3385;542;4807;4421;9228
2010;9;Bélgica;18;57;571;6280;1167;8093;1715;9808
2010;9;Alemania;196;445;7358;22325;4316;34640;7293;41933
2010;9;Francia;56;308;554;2440;331;3689;2595;6284
2010;9;Gran Bretaña;835;295;9639;35279;7648;53696;61242;114938
2010;9;Irlanda;1;7;820;1173;380;2381;2559;4940
2010;9;Italia;104;107;1132;3241;372;4956;1541;6497
2010;9;Suecia;15;10;102;405;10;542;1225;1767
2010;9;Noruega;3;5;42;241;44;335;863;1198
2010;9;Dinamarca;11;13;104;405;44;577;498;1075
2010;9;Finlandia;0;31;16;8;2;57;168;225
2010;9;Suiza;25;60;244;948;372;1649;841;2490
2010;9;Austria;17;24;211;1111;223;1586;564;2150
2010;9;Rusia;141;9;300;1820;1063;3333;4013;7346
2010;9;Países del Este;46;410;1111;2175;606;4348;3689;8037
2010;9;Resto de Europa;22;133;1221;4149;586;6111;2251;8362
2010;9;Estados Unidos;2;24;150;283;206;665;268;933
2010;9;Resto de América;54;192;423;249;112;1030;674;1704
2010;9;Resto del Mundo;21;113;390;3282;262;4068;1432;5500
2010;9;TOTAL;2510;6841;41615;148005;31575;230546;133127;363673
2010;10;España;1250;5615;17218;50598;12094;86775;23268;110043
2010;10;Holanda;150;125;1256;4999;1213;7743;6173;13916
2010;10;Bélgica;46;63;812;5845;1918;8684;1340;10024
2010;10;Alemania;492;680;8230;22666;6949;39017;9149;48166
2010;10;Francia;111;325;1404;3282;816;5938;3916;9854
2010;10;Gran Bretaña;35;555;11680;52654;12965;77889;76667;154556
2010;10;Irlanda;3;53;780;1801;575;3212;2924;6136
2010;10;Italia;71;132;902;1555;424;3084;1401;4485
2010;10;Suecia;4;106;944;3210;410;4674;7712;12386
2010;10;Noruega;0;90;696;1381;288;2455;5691;8146
2010;10;Dinamarca;4;347;427;1880;203;2861;4481;7342
2010;10;Finlandia;2;18;1039;2398;406;3863;7612;11475
2010;10;Suiza;57;131;449;1439;789;2865;1278;4143
2010;10;Austria;7;58;206;1160;396;1827;738;2565
2010;10;Rusia;4;59;288;1734;1415;3500;4961;8461
2010;10;Países del Este;28;322;1255;1599;654;3858;2630;6488
2010;10;Resto de Europa;58;134;1072;3417;799;5480;2165;7645
2010;10;Estados Unidos;14;51;147;327;294;833;209;1042
2010;10;Resto de América;77;232;285;318;150;1062;417;1479
2010;10;Resto del Mundo;45;143;319;2751;388;3646;1609;5255
2010;10;TOTAL;2458;9239;49409;165014;43146;269266;164341;433607
2010;11;España;1243;6180;13146;37611;5523;63703;16610;80313
2010;11;Holanda;66;199;1463;4199;925;6852;4535;11387
2010;11;Bélgica;45;89;773;6299;2304;9510;2296;11806
2010;11;Alemania;340;993;9437;25782;8353;44905;9216;54121
2010;11;Francia;158;634;1253;2083;782;4910;2962;7872
2010;11;Gran Bretaña;558;1403;9516;39641;6642;57760;64695;122455
2010;11;Irlanda;9;98;472;1510;436;2525;2277;4802
2010;11;Italia;115;205;1071;2497;428;4316;1958;6274
2010;11;Suecia;16;84;2100;6515;535;9250;12642;21892
2010;11;Noruega;3;35;1369;1900;234;3541;9541;13082
2010;11;Dinamarca;10;47;727;2252;165;3201;6898;10099
2010;11;Finlandia;9;72;2330;3201;255;5867;13527;19394
2010;11;Suiza;10;163;240;1024;840;2277;886;3163
2010;11;Austria;14;55;406;1363;446;2284;1150;3434
2010;11;Rusia;58;32;326;1505;742;2663;3929;6592
2010;11;Países del Este;43;206;797;2284;446;3776;2005;5781
2010;11;Resto de Europa;24;141;1298;2082;442;3987;2846;6833
2010;11;Estados Unidos;7;53;95;267;193;615;232;847
2010;11;Resto de América;81;202;286;141;110;820;228;1048
2010;11;Resto del Mundo;51;148;536;2076;1235;4046;1398;5444
2010;11;TOTAL;2860;11039;47641;144232;31036;236808;159831;396639
2010;12;España;1487;5547;17348;42099;7749;74230;18413;92643
2010;12;Holanda;127;204;1708;3956;745;6740;5966;12706
2010;12;Bélgica;54;126;661;6539;1587;8967;2946;11913
2010;12;Alemania;456;1156;7368;25503;5036;39519;10737;50256
2010;12;Francia;215;984;1574;2854;823;6450;3353;9803
2010;12;Gran Bretaña;800;922;9796;38428;9911;59857;65379;125236
2010;12;Irlanda;13;79;427;1152;475;2146;1675;3821
2010;12;Italia;99;299;1021;3306;767;5492;2558;8050
2010;12;Suecia;19;67;1155;5406;395;7042;10559;17601
2010;12;Noruega;29;56;831;1796;288;3000;7959;10959
2010;12;Dinamarca;13;42;835;2058;116;3064;8029;11093
2010;12;Finlandia;5;65;1860;3567;503;6000;14684;20684
2010;12;Suiza;31;56;213;861;387;1548;645;2193
2010;12;Austria;15;56;254;1184;370;1879;901;2780
2010;12;Rusia;144;60;202;1314;1057;2777;3822;6599
2010;12;Países del Este;19;330;551;2331;395;3626;1839;5465
2010;12;Resto de Europa;10;104;1348;2117;570;4149;3089;7238
2010;12;Estados Unidos;14;97;160;282;254;807;433;1240
2010;12;Resto de América;79;258;363;247;105;1052;497;1549
2010;12;Resto del Mundo;36;205;293;1014;562;2110;2076;4186
2010;12;TOTAL;3665;10713;47968;146014;32095;240455;165560;406015
2010;13;España;13157;62061;236508;639191;127661;1078578;387606;1466184
2010;13;Holanda;821;1662;14907;47573;8551;73514;67727;141241
2010;13;Bélgica;421;847;8527;74230;18509;102534;24318;126852
2010;13;Alemania;3641;6732;95681;270953;56265;433272;103082;536354
2010;13;Francia;1509;6730;13080;40934;6975;69228;41675;110903
2010;13;Gran Bretaña;8703;6157;113120;469436;103575;700991;798310;1499301
2010;13;Irlanda;107;571;7336;17698;6360;32072;35776;67848
2010;13;Italia;927;2206;12858;39348;7237;62576;27835;90411
2010;13;Suecia;162;1061;9823;33067;2772;46885;74053;120938
2010;13;Noruega;80;1455;6834;12606;2205;23180;56247;79427
2010;13;Dinamarca;80;2941;6875;16865;1354;28115;50121;78236
2010;13;Finlandia;63;561;10625;18393;2352;31994;76131;108125
2010;13;Suiza;362;790;3150;11860;5676;21838;9224;31062
2010;13;Austria;133;438;2789;13969;3513;20842;9332;30174
2010;13;Rusia;1342;319;4291;18285;12916;37153;44839;81992
2010;13;Países del Este;447;2794;11621;24950;5985;45797;31916;77713
2010;13;Resto de Europa;305;1119;16276;40506;7779;65985;26226;92211
2010;13;Estados Unidos;95;595;1847;3562;2537;8636;4049;12685
2010;13;Resto de América;887;2494;4434;3312;1534;12661;6450;19111
2010;13;Resto del Mundo;491;1987;5001;28857;6022;42358;18199;60557
2010;13;TOTAL;33733;103520;585583;1825595;389778;2938209;1893116;4831325
2011;1;España;1051;5555;14036;34313;4783;59738;10171;69909
2011;1;Holanda;72;177;1480;3610;619;5958;4737;10695
2011;1;Bélgica;48;95;829;7504;1729;10205;2299;12504
2011;1;Alemania;243;879;8189;28848;4539;42698;9893;52591
2011;1;Francia;112;1088;1224;4624;902;7950;3498;11448
2011;1;Gran Bretaña;1152;625;9277;35333;10004;56391;53526;109917
2011;1;Irlanda;17;84;749;1566;647;3063;2695;5758
2011;1;Italia;157;246;1992;6382;1147;9924;2936;12860
2011;1;Suecia;46;96;2368;7029;641;10180;10082;20262
2011;1;Noruega;13;73;2070;2144;280;4580;8348;12928
2011;1;Dinamarca;24;40;1747;3000;175;4986;7004;11990
2011;1;Finlandia;12;53;2469;3747;369;6650;17267;23917
2011;1;Suiza;19;97;244;955;401;1716;806;2522
2011;1;Austria;18;60;319;1388;445;2230;1253;3483
2011;1;Rusia;153;61;439;1979;1044;3676;4082;7758
2011;1;Países del Este;42;231;781;2224;339;3617;2512;6129
2011;1;Resto de Europa;30;113;1114;2411;244;3912;1567;5479
2011;1;Estados Unidos;10;38;72;238;178;536;238;774
2011;1;Resto de América;66;193;234;221;77;791;294;1085
2011;1;Resto del Mundo;39;97;232;1285;402;2055;1496;3551
2011;1;TOTAL;3324;9901;49865;148801;28965;240856;144704;385560
2011;2;España;742;5729;14181;34417;5126;60195;11217;71412
2011;2;Holanda;38;223;1819;5149;881;8110;7777;15887
2011;2;Bélgica;29;123;611;7074;2050;9887;1981;11868
2011;2;Alemania;168;1008;8330;25647;7224;42377;10358;52735
2011;2;Francia;191;1623;2525;7250;1235;12824;5675;18499
2011;2;Gran Bretaña;1005;803;8827;37035;11112;58782;62929;121711
2011;2;Irlanda;6;147;349;1729;774;3005;2485;5490
2011;2;Italia;83;290;1077;6798;713;8961;2722;11683
2011;2;Suecia;13;125;2703;7290;676;10807;11438;22245
2011;2;Noruega;7;84;2343;2913;505;5852;9780;15632
2011;2;Dinamarca;18;87;2381;3774;332;6592;10327;16919
2011;2;Finlandia;14;51;2740;4359;587;7751;15369;23120
2011;2;Suiza;28;100;288;1176;606;2198;1398;3596
2011;2;Austria;22;89;347;1734;582;2774;775;3549
2011;2;Rusia;71;49;321;920;502;1863;2567;4430
2011;2;Países del Este;55;263;1055;2154;760;4287;1727;6014
2011;2;Resto de Europa;60;178;1497;3252;643;5630;2161;7791
2011;2;Estados Unidos;11;67;101;370;281;830;248;1078
2011;2;Resto de América;73;187;177;221;60;718;288;1006
2011;2;Resto del Mundo;43;197;307;685;306;1538;1426;2964
2011;2;TOTAL;2677;11423;51979;153947;34955;254981;162648;417629
2011;3;España;1148;6591;15131;37329;6045;66244;13189;79433
2011;3;Holanda;63;233;1978;5450;1210;8934;7590;16524
2011;3;Bélgica;30;111;770;7672;2355;10938;2018;12956
2011;3;Alemania;361;1045;9802;28104;7091;46403;11888;58291
2011;3;Francia;188;1850;2546;6899;756;12239;5527;17766
2011;3;Gran Bretaña;1330;725;11606;45386;10219;69266;64173;133439
2011;3;Irlanda;13;141;677;1614;640;3085;2953;6038
2011;3;Italia;86;310;1868;5381;769;8414;2338;10752
2011;3;Suecia;21;78;2260;7706;606;10671;15278;25949
2011;3;Noruega;17;53;1579;2922;541;5112;11005;16117
2011;3;Dinamarca;23;94;1850;3543;464;5974;11026;17000
2011;3;Finlandia;29;122;2457;4355;863;7826;16399;24225
2011;3;Suiza;25;65;362;1301;720;2473;612;3085
2011;3;Austria;27;56;325;1352;366;2126;629;2755
2011;3;Rusia;165;89;397;1560;1083;3294;4256;7550
2011;3;Países del Este;86;260;1206;2410;758;4720;2751;7471
2011;3;Resto de Europa;34;160;1708;3662;655;6219;2570;8789
2011;3;Estados Unidos;8;51;110;294;427;890;417;1307
2011;3;Resto de América;57;203;204;131;408;1003;400;1403
2011;3;Resto del Mundo;48;177;397;644;744;2010;1388;3398
2011;3;TOTAL;3759;12414;57233;167715;36720;277841;176407;454248
2011;4;España;1263;5182;18922;52786;7794;85947;33263;119210
2011;4;Holanda;81;157;1563;5312;863;7976;6457;14433
2011;4;Bélgica;16;66;612;8191;2336;11221;2126;13347
2011;4;Alemania;279;872;9501;26915;5644;43211;11583;54794
2011;4;Francia;185;1592;2826;9731;1221;15555;7616;23171
2011;4;Gran Bretaña;1405;857;11287;43064;13329;69942;75493;145435
2011;4;Irlanda;2;109;591;1341;669;2712;3267;5979
2011;4;Italia;97;259;1187;5247;1013;7803;2056;9859
2011;4;Suecia;5;23;1127;4508;477;6140;8668;14808
2011;4;Noruega;16;26;971;2299;306;3618;5806;9424
2011;4;Dinamarca;17;56;1459;2722;191;4445;7202;11647
2011;4;Finlandia;18;20;785;1310;277;2410;6746;9156
2011;4;Suiza;13;99;604;1526;813;3055;998;4053
2011;4;Austria;13;43;372;1687;445;2560;957;3517
2011;4;Rusia;205;97;474;3034;1573;5383;4055;9438
2011;4;Países del Este;55;300;1036;4843;664;6898;2898;9796
2011;4;Resto de Europa;25;138;1287;4186;987;6623;2344;8967
2011;4;Estados Unidos;27;54;161;442;350;1034;696;1730
2011;4;Resto de América;46;245;336;348;179;1154;525;1679
2011;4;Resto del Mundo;52;243;302;1989;527;3113;1043;4156
2011;4;TOTAL;3820;10438;55403;181481;39658;290800;183799;474599
2011;5;España;1336;5413;19942;51477;7633;85801;28988;114789
2011;5;Holanda;51;120;1227;3827;880;6105;4673;10778
2011;5;Bélgica;19;82;365;4584;1237;6287;1144;7431
2011;5;Alemania;167;434;6641;19758;3911;30911;5559;36470
2011;5;Francia;95;996;1646;4981;813;8531;3345;11876
2011;5;Gran Bretaña;968;407;8578;43518;9327;62798;60117;122915
2011;5;Irlanda;9;36;564;1544;498;2651;3092;5743
2011;5;Italia;48;211;973;4209;631;6072;1503;7575
2011;5;Suecia;7;9;139;187;62;404;597;1001
2011;5;Noruega;5;12;194;79;62;352;1398;1750
2011;5;Dinamarca;7;3;173;648;38;869;1686;2555
2011;5;Finlandia;0;26;93;124;14;257;934;1191
2011;5;Suiza;18;78;507;1065;706;2374;545;2919
2011;5;Austria;9;23;221;890;365;1508;475;1983
2011;5;Rusia;62;25;461;2446;1432;4426;4086;8512
2011;5;Países del Este;29;219;779;2151;683;3861;2319;6180
2011;5;Resto de Europa;20;173;971;2488;631;4283;1940;6223
2011;5;Estados Unidos;7;31;80;276;279;673;455;1128
2011;5;Resto de América;69;193;129;266;67;724;460;1184
2011;5;Resto del Mundo;41;163;492;3669;431;4796;1181;5977
2011;5;TOTAL;2967;8654;44175;148187;29700;233683;124497;358180
2011;6;España;1189;5663;18532;57405;8515;91304;32994;124298
2011;6;Holanda;12;81;729;3495;552;4869;3197;8066
2011;6;Bélgica;4;52;332;6614;1218;8220;1113;9333
2011;6;Alemania;109;340;7309;22203;4202;34163;6267;40430
