ACCIONA,94,4,96,75, 95,575
ACERINOX,8468,8672, 8570
ACS,37,22,37,66, 37,44
AENA,166,1,167,5, 166,8
AMADEUS,69,56,70,64, 70,10
ARCELORMIT.,14,08,14318, 7166,04
BA.SABADELL,1,0165,1033, 517,00825
BA.SANTANDER,4,01,4,0675, 4,03875
BANKIA,2224,2262, 2243
BANKINTER,6522,6604, 6563
BBVA,4969,5,05, 2487,025
CAIXABANK,2762,2806, 2784
CELLNEX,30,17,30,7, 30,435
CIE AUTOMOT.,23,4,23,74, 23,57
ENAGAS,25,07,25,66, 25,365
ENCE,3846,3974, 3910
ENDESA,22,62,23,03, 22,825
FERROVIAL,21,38,21,72, 21,55
GRIFOLS CL.A,23,27,23,6, 23,435
IAG,5292,5,46, 2648,73
IBERDROLA,8262,8,45, 4135,225
INDITEX,24,87,25,19, 25,03
INDRA A,9535,9685, 9610
INM.COLONIAL,9745,9915, 9830
MAPFRE,2,62,2654, 1328,31
MEDIASET,6446,6592, 6519
MELIA HOTELS,8,02,8,19, 8,105
MERLIN,11,83,12,08, 11,955
NATURGY,26,53,26,77, 26,65
R.E.C.,19675,19875, 19775
REPSOL,14,46,14605, 7309,73
SIEMENS GAME,14155,14,39, 7084,695
TEC.REUNIDAS,22,78,23,2, 22,99
TELEFONICA,7185,7256, 7220,5
VISCOFAN,48,46,49,12, 48,79
