CODMUN;MUNICIPIO;PERIODO_2017;PERIODO_2016;PERIODO_2015;PERIODO_2014;PERIODO_2013;PERIODO_2012;PERIODO_2011;PERIODO_2010;PERIODO_2009;PERIODO_2008;PERIODO_2007;PERIODO_2006;PERIODO_2005;PERIODO_2004;PERIODO_2003;PERIODO_2002;PERIODO_2001;PERIODO_2000
35004;  Arrecife;59771;58537;56940;56880;55673;56284;57357;58156;59127;59040;56834;55203;53920;51633;50785;48253;45549;43711
35010;  Haría;4858;4767;4755;4736;4782;5190;5203;5249;5249;5188;5049;5004;4894;4747;4741;4551;4285;4201
35018;  San Bartolomé;18249;18151;18402;18689;18541;18487;18468;18161;18517;18300;18050;17610;17452;16884;16481;15910;14835;13129
35024;  Teguise;21896;21724;21454;21101;21152;21096;20788;20105;19418;18798;17688;16616;15824;14477;14214;13714;12905;12184
35028;  Tías;19964;20037;20019;19658;20451;20228;20102;19869;19849;19487;18263;17884;16850;15788;15636;15230;14442;13537
35029;  Tinajo;6028;5924;5824;5808;5783;5716;5728;5655;5837;5746;5588;5476;5258;5123;5066;4964;4670;4373
35034;  Yaiza;16257;15944;15815;15068;15571;15131;14871;14242;13941;12947;10894;9664;8841;8130;7792;7320;6358;5175
35003;  Antigua;11405;10834;11024;11643;11629;11172;10600;10458;10371;9715;9204;8206;7578;6853;6587;6543;5722;4821
35007;  Betancuria;710;714;713;733;811;805;839;823;680;715;742;705;738;749;721;665;670;677
35014;  Oliva (La);25349;24508;25199;24307;25083;24079;22953;22351;21996;21354;20084;18884;17273;15583;14042;13026;11376;10578
35015;  Pájara;19823;19394;19271;19679;20931;20500;20565;20622;20821;20283;19424;18494;18173;16821;16279;15860;14629;12923
35017;  Puerto del Rosario;38711;38126;37363;36790;36774;36285;35664;35702;35667;35293;31808;30555;30363;28357;26093;22652;23068;21274
35030;  Tuineje;14301;13945;13797;13778;13946;13615;13451;13536;13632;13569;13124;12836;12517;11623;11261;11016;10560;9851
35001;  Agaete;5526;5558;5618;5656;5796;5767;5776;5748;5782;5765;5710;5638;5606;5511;5635;5649;5613;5665
35002;  Agüimes;30882;30742;30294;30244;30214;29912;29767;29431;28924;28224;27310;26593;25541;24460;23572;22567;21512;20692
35005;  Artenara;1096;1136;1177;1180;1198;1242;1261;1230;1257;1301;1300;1306;1386;1469;1357;1394;1490;1572
35006;  Arucas;37367;37299;37054;37056;36852;36797;36872;36745;36259;35542;35280;34874;34245;33701;33449;32917;32542;31973
35008;  Firgas;7570;7465;7486;7618;7628;7648;7640;7564;7524;7424;7369;7188;7179;7060;7023;6927;6889;6814
35009;  Gáldar;24251;24296;24235;24209;24227;24319;24361;24473;24405;23951;23776;23453;23201;22992;22763;22677;22335;22291
35011;  Ingenio;30529;30340;30258;30173;29978;30048;29871;29640;29319;28809;28132;27934;27308;26857;26433;25681;25237;24616
35012;  Mogán;19783;21049;22277;23491;21782;24225;23476;22638;21690;20391;18547;16569;15953;15176;15932;15395;14321;13136
35013;  Moya;7792;7821;7845;7869;7977;8042;8089;8098;8054;8071;7974;7808;7801;7825;8307;8435;8594;8664
35016;  Palmas de Gran Canaria (Las);377650;378998;379766;382283;383050;382296;383343;383308;381847;381123;377203;377056;378628;376953;377600;370649;364777;358518
